id,CalendarDate,DayWeek,TypeDay
1,"2018-01-01",Понедельник,Праздник
2,"2018-01-02",Вторник,Праздник
3,"2018-01-03",Среда,Праздник
4,"2018-01-04",Четверг,Праздник
5,"2018-01-05",Пятница,Праздник
6,"2018-01-06",Суббота,Праздник
7,"2018-01-07",Воскресенье,Праздник
8,"2018-01-08",Понедельник,Праздник
9,"2018-01-09",Вторник,Рабочий день
10,"2018-01-10",Среда,Рабочий день
11,"2018-01-11",Четверг,Рабочий день
12,"2018-01-12",Пятница,Рабочий день
13,"2018-01-13",Суббота,Выходной день
14,"2018-01-14",Воскресенье,Выходной день
15,"2018-01-15",Понедельник,Рабочий день
16,"2018-01-16",Вторник,Рабочий день
17,"2018-01-17",Среда,Рабочий день
18,"2018-01-18",Четверг,Рабочий день
19,"2018-01-19",Пятница,Рабочий день
20,"2018-01-20",Суббота,Выходной день
21,"2018-01-21",Воскресенье,Выходной день
22,"2018-01-22",Понедельник,Рабочий день
23,"2018-01-23",Вторник,Рабочий день
24,"2018-01-24",Среда,Рабочий день
25,"2018-01-25",Четверг,Рабочий день
26,"2018-01-26",Пятница,Рабочий день
27,"2018-01-27",Суббота,Выходной день
28,"2018-01-28",Воскресенье,Выходной день
29,"2018-01-29",Понедельник,Рабочий день
30,"2018-01-30",Вторник,Рабочий день
31,"2018-01-31",Среда,Рабочий день
32,"2018-02-01",Четверг,Рабочий день
33,"2018-02-02",Пятница,Рабочий день
34,"2018-02-03",Суббота,Выходной день
35,"2018-02-04",Воскресенье,Выходной день
36,"2018-02-05",Понедельник,Рабочий день
37,"2018-02-06",Вторник,Рабочий день
38,"2018-02-07",Среда,Рабочий день
39,"2018-02-08",Четверг,Рабочий день
40,"2018-02-09",Пятница,Рабочий день
41,"2018-02-10",Суббота,Выходной день
42,"2018-02-11",Воскресенье,Выходной день
43,"2018-02-12",Понедельник,Рабочий день
44,"2018-02-13",Вторник,Рабочий день
45,"2018-02-14",Среда,Рабочий день
46,"2018-02-15",Четверг,Рабочий день
47,"2018-02-16",Пятница,Рабочий день
48,"2018-02-17",Суббота,Выходной день
49,"2018-02-18",Воскресенье,Выходной день
50,"2018-02-19",Понедельник,Рабочий день
51,"2018-02-20",Вторник,Рабочий день
52,"2018-02-21",Среда,Рабочий день
53,"2018-02-22",Четверг,Рабочий день
54,"2018-02-23",Пятница,Праздник
55,"2018-02-24",Суббота,Выходной день
56,"2018-02-25",Воскресенье,Выходной день
57,"2018-02-26",Понедельник,Рабочий день
58,"2018-02-27",Вторник,Рабочий день
59,"2018-02-28",Среда,Рабочий день
