CadastralNumber	mo	xone	code_cladr	note
23:01	Абинский муниципальный район	1	2300200000000	
23:02	Апшеронский муниципальный район	2	2300400000000	
23:03	Белоглинский муниципальный район	2	2300500000000	
23:04	Брюховецкий муниципальный район	1	2300700000000	
23:05	Выселковский муниципальный район	2	2300800000000	
23:06	Гулькевичский муниципальный район	2	2300900000000	
23:07	Динской муниципальный район	1	2301000000000	
23:08	Ейский муниципальный район	1	2301100000000	23:08 и 23:42
23:09	Кавказский муниципальный район	2	2301200000000	23:09 и 23:44
23:10	Калининский муниципальный район	1	2301300000000	
23:11	Каневской муниципальный район	1	2301400000000	
23:12	Кореновский муниципальный район	1	2301500000000	
23:13	Красноармейский муниципальный район	1	2301600000000	
23:14	Крыловский муниципальный район	2	2301700000000	
23:15	Крымский муниципальный район	1	2301800000000	23:15 и 23:45
23:16	Курганинский муниципальный район	2	2301900000000	
23:17	Кущевский муниципальный район	2	2302000000000	
23:18	Лабинский муниципальный район	2	2302100000000	23:18 и 23:46
23:19	Ленинградский муниципальный район	1	2302200000000	
23:20	Мостовский муниципальный район	2	2302300000000	
23:21	Новокубанский муниципальный район	2	2302400000000	
23:22	Новопокровский муниципальный район	2	2302500000000	
23:23	Отрадненский муниципальный район	2	2302600000000	
23:24	Павловский муниципальный район	2	2302700000000	
23:25	Приморско-Ахтарский муниципальный район	1	2302800000000	
23:26	Северский муниципальный район	1	2302900000000	
23:27	Славянский муниципальный район	1	2303000000000	23:27 и 23:48
23:28	Староминский муниципальный район	1	2303100000000	
23:29	Тбилисский муниципальный район	2	2303200000000	
23:30	Темрюкский муниципальный район	1	2303300000000	
23:31	Тимашевский муниципальный район	1	2303400000000	
23:32	Тихорецкий муниципальный район	2	2303500000000	23:32 и 23:50
23:33	Туапсинский муниципальный район	1	2303600000000	23:33 и 23:51
23:34	Успенский муниципальный район	2	2303700000000	
23:35	Усть-Лабинский муниципальный район	2	2303800000000	
23:36	Щербиновский муниципальный район	1	2303900000000	
23:37	город-курорт Анапа	1	2300300000000	
23:38	город Армавир	2	2300000200000	
23:39	Белореченский муниципальный район	2	2300600000000	
23:40	город-курорт Геленджик	1	2300000300000	
23:41	город Горячий Ключ	1	2300000400000	
23:42	Ейский муниципальный район	1	2301100000000	23:08 и 23:42
23:43	город Краснодар	1	2300000100000	
23:44	Кавказский муниципальный район	2	2301200000000	23:09 и 23:44
23:45	Крымский муниципальный район	1	2301800000000	23:15 и 23:45
23:46	Лабинский муниципальный район	2	2302100000000	23:18 и 23:46
23:47	город Новороссийск	1	2300000600000	
23:48	Славянский муниципальный район	1	2303000000000	23:27 и 23:48
23:49	город-курорт Сочи	2	2300000700000	
23:50	Тихорецкий муниципальный район	2	2303500000000	23:32 и 23:50
23:51	Туапсинский муниципальный район	1	2303600000000	23:33 и 23:51
23:49	край Краснодарский, пгт. Сириус	2	2300000800000	
